PERTANYAAN;A;SKOR_A;B;SKOR_B;C;SKOR_C;D;SKOR_D;E;SKOR_E
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
Jika atasan memberi tugas mendadak…;Menolak karena sibuk;1;Mengerjakan seadanya;2;Mengerjakan setelah tugas lain;3;Mengerjakan dengan baik;4;Mengerjakan optimal dan tepat waktu;5
